Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
172791,616163633,G,12.6367,11.0518,-3.17671,5.23845,11.4993,0.4411,-0.279892,1,G,18.6659,16.6566,-0.298797,8.41866,16.6593,0.485986,-0.0179367,-1
172791,615235681,G,7.74981,-3.83827,-2.84363,-6.10163,4.77688,-1.06455,-2.50397,-1,G,29.0327,-17.9645,-5.99075,-22.0063,18.937,-0.991466,-2.81971,1
172791,615805889,G,9.11345,8.81654,-0.506101,-2.2486,8.83106,-0.25195,-0.0573406,1,G,17.1299,14.7311,-3.98295,-7.78153,15.2601,-0.490074,-0.264063,-1
172791,617076831,G,19.9079,11.8484,-5.53442,15.01,13.0772,0.982123,-0.436986,1,G,20.2656,11.053,-3.08546,16.7031,11.4756,1.16984,-0.272221,-1
172791,617531151,G,25.1523,-4.08017,-8.89989,23.1683,9.7906,1.59643,-2.00066,1,T,54.2758,-7.28017,-16.1744,51.2957,17.7373,1.78372,-1.99374,-1
172791,616484141,G,32.9605,0.143293,-8.67336,31.7984,8.67454,2.01028,-1.55428,1,G,52.5162,-2.70769,-16.486,49.7877,16.7069,1.81212,-1.73358,-1
172791,616279767,G,25.9808,12.8611,-17.1455,-14.6838,21.433,-0.64042,-0.92722,-1,T,46.1091,24.9021,-27.1979,-27.6803,36.876,-0.693653,-0.829434,1
172791,617314407,G,29.4009,8.1095,18.4922,21.37,20.1922,0.922023,1.15752,1,G,14.0857,3.36609,7.25838,11.5922,8.00092,1.16606,1.13656,-1
172791,617360375,G,17.2593,15.1087,-5.77988,-6.01588,16.1765,-0.363811,-0.365376,1,G,9.08562,8.49762,-3.05747,-0.989796,9.03093,-0.109382,-0.345382,-1
172791,616918754,G,33.6847,4.0525,-16.8619,28.8774,17.3421,1.28302,-1.33493,-1,G,21.6576,2.77147,-8.71262,19.6328,9.1428,1.50766,-1.26282,1
172791,616569254,G,16.5754,12.4709,4.70925,-9.85046,13.3304,-0.684281,0.361065,1,G,11.5816,8.10924,1.63427,-8.10506,8.27228,-0.867008,0.198868,-1
172791,617205518,G,24.7076,14.9776,-3.21363,19.3855,15.3185,1.05723,-0.211358,1,G,14.4751,9.77467,-2.62418,10.3482,10.1208,0.897175,-0.262283,-1
172791,616623748,G,10.7207,-6.86166,8.12806,1.33239,10.6371,0.124933,2.27191,1,G,19.704,-14.9383,12.8443,-0.33032,19.701,-0.0167659,2.43143,-1
172791,616705252,G,6.90144,-4.98111,4.49596,-1.61044,6.71008,-0.237757,2.40734,1,G,22.2293,-17.8928,11.2457,-6.89295,21.1333,-0.320643,2.58048,-1
